,row,row_name,column,type,x_coord,y_coord,radius,halo,spot_intensity,norm_intensity,note,RT
254,14,N,15,Sample,1576,1504,24,,0.5602976797202949,0.9832683989445751,Initial Detection,
255,14,N,16,Sample,1685,1503,25,,0.562748128617753,0.9875687004651919,Initial Detection,
256,14,N,17,Sample,1791,1502,24,,0.5679961420006794,0.9967784578913617,Initial Detection,
257,14,N,18,Sample,1898,1500,23,,0.5715668438388088,1.0030446952979464,Initial Detection,
258,14,N,19,Sample,2009,1499,22,,0.581646644116999,1.0207337728007568,Initial Detection,
259,14,N,20,Sample,2113,1498,22,,0.5825097520832522,1.022248444052863,Initial Detection,
260,15,O,1,Sample,91,1629,25,54.0,0.6632805002474973,1.163993318435815,Backfilled,
261,15,O,2,Sample,196,1629,25,46.0,0.7374104716590396,1.2940842699814674,Backfilled,
262,15,O,3,Sample,307,1631,30,,0.7650576927104056,1.3426024769317697,Initial Detection,
263,15,O,4,Sample,413,1627,29,,0.7040167232349571,1.2354814616241367,Initial Detection,
264,15,O,5,Sample,519,1629,24,,0.67440896984842,1.1835227094778504,Initial Detection,
265,15,O,6,Sample,626,1629,22,,0.65178906989101,1.1438269662677194,Initial Detection,
266,15,O,7,Sample,731,1629,24,,0.6336895406569558,1.1120640377820914,Initial Detection,
267,15,O,8,Sample,837,1629,24,,0.6575039182805598,1.1538559741140642,Initial Detection,
268,15,O,9,Sample,944,1629,24,,0.6463727134229881,1.134321782960368,Initial Detection,
269,15,O,10,Sample,1051,1628,27,,0.6730973527266488,1.1812209479071152,Initial Detection,
270,15,O,11,Sample,1157,1627,29,,0.6669483842447946,1.1704301011605578,Initial Detection,
271,15,O,12,Sample,1256,1629,25,,0.5977836368962833,1.04905263905376,Backfilled,
272,15,O,13,Sample,1361,1629,25,,0.6602963905809618,1.1587564937258605,Backfilled,
273,15,O,14,Sample,1468,1629,25,,0.6792920568536533,1.1920920563006674,Backfilled,
274,15,O,15,Sample,1575,1629,25,,0.682187269549757,1.1971728753997628,Backfilled,
275,15,O,16,Sample,1682,1629,25,54.0,0.6599993938842925,1.158235293162311,Backfilled,
276,15,O,17,Sample,1788,1629,25,54.0,0.6431271529735025,1.128626137337783,Backfilled,
277,15,O,18,Sample,1896,1629,25,57.0,0.6080290127385317,1.0670322857052008,Backfilled,
278,15,O,19,Sample,2007,1627,20,58.0,0.5939648791243404,1.0423510874031268,Initial Detection,
279,15,O,20,Sample,2115,1620,20,65.0,0.5723946767462004,1.0044974622232903,Initial Detection,
280,16,P,1,Sample,92,1752,22,,0.5796638285188496,1.017254122626999,Initial Detection,
281,16,P,2,Sample,196,1752,23,,0.5876669163723705,1.03129877007989,Initial Detection,
282,16,P,3,Sample,305,1752,24,,0.5918302480298994,1.0386050156727993,Initial Detection,
283,16,P,4,Sample,412,1751,24,,0.6038908799964925,1.0597702617790687,Initial Detection,
284,16,P,5,Sample,519,1750,24,,0.6250813796731659,1.0969575453321965,Initial Detection,
285,16,P,6,Sample,628,1751,24,,0.6217691995747432,1.0911449886497953,Initial Detection,
286,16,P,7,Sample,733,1751,24,,0.6012034327425771,1.0550540509963926,Initial Detection,
287,16,P,8,Sample,838,1751,24,,0.6191036727715121,1.086467246144302,Initial Detection,
288,16,P,9,Sample,942,1751,28,,0.6406360339154036,1.1242544636070262,Initial Detection,
289,16,P,10,Sample,1052,1751,29,,0.6723804386102933,1.1799628327642475,Initial Detection,
290,16,P,11,Sample,1153,1750,25,,0.6549746946692122,1.1494174305667413,Backfilled,
291,16,P,12,Sample,1256,1757,20,,0.5561666272934875,0.9760188002889271,Initial Detection,
292,16,P,13,Sample,1361,1750,25,54.0,0.5955773757210249,1.0451808634388176,Backfilled,
293,16,P,14,Sample,1470,1748,20,60.0,0.5899299157413969,1.035270115753686,Initial Detection,
294,16,P,15,Sample,1575,1748,21,69.0,0.5776765636861025,1.013766664475558,Initial Detection,
295,16,P,16,Sample,1684,1747,22,79.0,0.5654808651814988,0.992364389619416,Initial Detection,
296,16,P,17,Sample,1793,1744,25,94.0,0.5562950167186916,0.9762441113496919,Initial Detection,
297,16,P,18,Sample,1899,1746,22,93.0,0.5533818021590657,0.9711317007160171,Initial Detection,
