,row_letter,row,column,x_coord,y_coord,radius,hough_peak_int,min_griddist,note,halo_rad,x+y,x-y,spot_intensity,RT
201,K,11,2,182,1233,23,0.3749999999999995,7.035603235567052,kept,,1415,-1051,0.4107019830085563,1005
202,K,11,3,286,1232,21,0.4453125,2.718049118641786,kept,,1518,-946,0.4272550029800688,1010
203,K,11,4,385,1232,23,0.3455882352941173,1.974666521273131,kept,,1617,-847,0.4254750431857441,1015
204,K,11,5,484,1237,21,0.6328125,1.5211443128496736,kept,,1721,-753,0.4882484266246427,1020
205,K,11,6,584,1238,23,0.3529411764705878,7.174972580577398,kept,,1822,-654,0.4486448262973402,1025
206,K,11,7,684,1245,25,0.3888888888888884,2.7223974442283785,kept,,1929,-561,0.4663737107413805,1030
207,K,11,8,788,1244,24,0.4374999999999994,4.757733913641165,kept,,2032,-456,0.4879675930135062,1035
208,K,11,9,886,1248,22,0.4609375,5.154096521367516,kept,,2134,-362,0.4733137355921246,1040
209,K,11,10,992,1253,20,0.366666666666667,1.4173347023471714,kept,,2245,-261,0.4870665009950399,1045
210,K,11,11,95,1238,21,0.4375,4.123105625617578,kept,,1333,-1143,0.4565728197512905,1050
211,K,11,12,198,1235,22,0.390625,6.324555320336705,kept,,1433,-1037,0.4140558232566597,1055
212,K,11,13,298,1240,25,0.298611111111111,3.0662836995162195,kept,,1538,-942,0.4076895879423381,1060
213,K,11,14,398,1236,20,0.4000000000000004,3.784314976598664,kept,,1634,-838,0.4087179642593771,1065
214,K,11,15,499,1235,23,0.3088235294117645,2.107572887257989,kept,,1734,-736,0.3821620147286116,1070
215,K,11,16,600,1234,21,0.3203125,3.792623765638839,kept,,1834,-634,0.3682415573132911,1075
216,K,11,17,691,1238,21,0.34375,7.75974627017086,kept,,1929,-547,0.3577113070885231,1080
217,K,11,18,803,1236,22,0.40625,1.631629266491079,kept,,2039,-433,0.3737329656231375,1085
218,K,11,19,903,1234,20,0.5000000000000007,3.4612901347109224,kept,,2137,-331,0.3747532603974099,1090
219,K,11,20,1002,1239,26,0.3947368421052634,4.242771850499252,kept,,2241,-237,0.4489155579800184,1095
220,L,12,20,1003,1347,23,0.3823529411764701,5.104868285738752,kept,,2350,-344,0.4306290470850885,1100
221,L,12,19,904,1350,20,0.4333333333333338,2.861790165658172,kept,,2254,-446,0.3471871180208302,1105
222,L,12,18,800,1355,22,0.2734375,7.031169548328467,kept,,2155,-555,0.3257548666040347,1110
